,scientificName,sourceTaxonId,interactionTypeName,targetTaxonId,targetTaxonName,referenceCitation,sourceDOI
8855967,Lopidea ampla,no:match,interactsWith,GBIF:2974751,Vicia,"Tri-Trophic Thematic Collection Network, 2014 (and updates). Version: 2016-03-08. http://tcn.amnh.org/. National Science Foundation grant(s) EF#1115081, EF#1115103, EF#1115080, EF#1115144, EF#1115191, EF#1115104, EF#1115115",
9649658,Puccinia subnitens,GBIF:2514574,hasHost,GBIF:2704508,Distichlis,tmp_host_info-20200902.csv.gz,
5342059,Alphainfluenzavirus influenzae,no:match,hasHost,GBIF:2436436,Homo sapiens,"Influenza A virus (A/Washington/8402/2019(H1N1)) segment 6 neuraminidase (NA) gene, complete cds",
4877814,Human betaherpesvirus 5,NCBI:10359,hasHost,GBIF:2436436,Homo sapiens,https://github.com/viralemergence/virion/raw/main/Virion/Virion.csv.gz,
1268500,Mustelus canis,GBIF:2418312,preysOn,EOL:1,Animalia,https://datadryad.org/stash/downloads/file_stream/80047,
10284200,Ganoderma pfeifferi,GBIF:2549556,hasHost,no:match,Substrate Undetermined,tmp_host_info-20200902.csv.gz,
3952569,Dione glycera,EOL:153914,hasHost,EOL:5741102,Passiflora alnifolia,doi:10.5519/qd.bsucrxdz,
7196239,Coregonus lavaretus,FBC:FB:SpecCode:232,eats,EOL_V2:1428,Cyclopoida,"Turunen, T. and M. Viljanen. 1988. Biology of whitefish (<i>Coregonus lavaretus</i> L.) in Lake Suomunjärvi, Eastern Finland. Finnish Fish. Res. 9:191-195.",
19609659,Xyleborinus spp_unidentified,no:match,interactsWith,no:match,Etoh,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=35808960,
1723344,Caracal caracal,GBIF:2435010,eats,GBIF:2441036,Redunca fulvorufula,"Craig, Christie A., Eleanor I. Brassine, and Daniel M. Parker. ""A record of cheetah (Acinonyx jubatus) diet in the Northern Tuli Game Reserve, Botswana.""�African Journal of Ecology55.4 (2017): 697-700.",
9914631,Apiosporina morbosa,ALATaxon:NZOR-6-46323,hasHost,ITIS:24762,Prunus,tmp_host_info-20200902.csv.gz,
6127389,Lycopodium annotinum,GBIF:2688369,interactsWith,EOL_V2:583101,Rhododendron groenlandicum,https://biorepo.neonscience.org/portal/collections/individual/index.php?occid=903938,
4426265,Cantharis rufa,INAT_TAXON:216011,preysOn,EOL_V2:3362848,Trichosirocalus troglodytes,"@article{Hines_2019, doi = {10.1002/ecy.2679}, url = {https://doi.org/10.1002%2Fecy.2679}, year = 2019, month = {mar}, publisher = {Wiley}, pages = {e02679}, author = {Jes Hines and Darren P. Giling and Michael Rzanny and Winfried Voigt and Sebastian T. Meyer and Wolfgang W. Weisser and Nico Eisenhauer and Anne Ebeling}, title = {A meta-food web for invertebrate species collected in a european grassland}, journal = {Ecology}}",
19257315,Ischnopsyllus,EOL:53769,ectoparasiteOf,EOL:327605,Myotis nattereri,"F.  Seow-Choen, A Taxonomic Guide to the Stick Insects of Borneo. Kota Kinabalu: Natural History Publications (Borneo), 2016.",
10673003,Thalassoma noronhanum,EOL_V2:604460,eats,GBIF:6488605,Monoplex vespaceus,,10.7167/2013/857470
6694717,Acari,EOL:2586535,hasHost,EOL:289592,Perognathus flavescens,http://arctos.database.museum/guid/MSB:Para:12043,
19521725,Agrilus hypoleucus,INAT_TAXON:625028,eats,GBIF:2891932,Casuarina cunninghamiana,"ABRS 2009. Australian Faunal Directory. Agrilus hypoleucus. Australian Biological Resources StudyNode, Canberra. Accessed at <http://biodiversity.org.au/afd/taxa/35c85718-1093-4b36-8bd8-93a13891ec36> on 12 Sep 2023.",
5737629,Alphainfluenzavirus influenzae,no:match,hasHost,EOL_V2:1049263,Gallus gallus,"Influenza A virus (A/chicken/Bangladesh/18857/2013(H9N2)) segment 1 polymerase PB2 (PB2) gene, complete cds",
3924493,Eacles imperialis,EOL:389645,hasHost,EOL:486956,Malosma laurina,doi:10.5519/qd.bsucrxdz,
10475761,Anthracoidea variabilis,GBIF:3368809,hasHost,GBIF:2724590,Carex parviflora,tmp_host_info-20200902.csv.gz,
140940,Angiostrongylus vasorum,GBIF:5777723,hasHost,EOL:328609,Vulpes vulpes,http://www.ncbi.nlm.nih.gov/nuccore/295409376,10.5281/zenodo.258189
8545874,Influenza A virus (A/duck/Novosibirsk/02/05(H5N1)),NCBI:397458,pathogenOf,NCBI:8839,Anas platyrhynchos,"Schriml, L. M., Arze, C., Nadendla, S., Ganapathy, A., Felix, V., Mahurkar, A., … Hall, N. (2009). GeMInA, Genomic Metadata for Infectious Agents, a geospatial surveillance pathogen database. Nucleic Acids Research, 38(Database), D754–D764. doi:10.1093/nar/gkp832",10.1093/nar/gkp832
1485591,Corbulamella gregaria,GBIF:8718447,adjacentTo,no:match,same slab: IP.076166,http://collections.peabody.yale.edu/search/Record/YPM-IP-538223,
10512595,Passalora clavata,ALATaxon:NZOR-6-126979,hasHost,EOL:585625,Asclepias incarnata,tmp_host_info-20200902.csv.gz,
4574772,Influenza A virus,NCBI:11320,hasHost,NCBI:9823,Sus scrofa,https://github.com/viralemergence/virion/raw/main/Virion/Virion.csv.gz,
7081186,Leiognathus equulus,FBC:FB:SpecCode:4451,eats,EOL:1,Animalia,"Jeyaseelan, M.J.P. 1998. Manual of fish eggs and larvae from Asian mangrove waters. United Nations Educational, Scientific and Cultural Organization. Paris. 193 p.",
19433744,Gadus morhua,EOL_V2:206692,eats,EOL:2215,Bivalvia,"Cooperative Research Report No. 164; Cooperative Research Report No. 219, ICES Stomach DatasetImpl, ICES",
2860467,Ammobates oraniensis,EOL:2757820,visitsFlowersOf,GBIF:5393678,Asteriscus intermedius,Mónica Pérez-Gil. 2022. Ammobates oraniensis interaction->visited flower of Asteriscus intermedius. iNaturalist.org. Accessed at <https://www.inaturalist.org/observations/109758419> on 11 Sep 2023.,
4500787,Heminomada,GBIF:4682537,mutualistOf,EOL:475574,Helenium autumnale,"@book{bhl43820, title = {Flowers and insects; lists of visitors of four hundred and fifty-three flowers,  }, copyright = {Public domain.  Published 1923-1963 with notice but no evidence of copyright renewal found in Stanford Copyright Renewal Database.  Contact dcc@library.uiuc.edu for information.}, url = {https://www.biodiversitylibrary.org/item/43820}, publisher = {Carlinville, Ill.,n.p.}, author = {Robertson, Charles,}, year = {}, pages = {234}, keywords = {Bees|Fertilization of plants|Flowers|Illinois|Insects|Macoupin County|}}",
10199036,Hypocrea capitata,GBIF:3449410,hasHost,http://taxon-concept.plazi.org/id/Animalia/Hecalina_Distant_1908,,tmp_host_info-20200902.csv.gz,
43854,NPV,EOL:33005140,pathogenOf,EOL:868931,Euproctis pseudoconspersa,"Kunimi, Y. 1993. A list of insect diseases of Japanese insects. In Iwahana H., Okada M., Kunimi Y., and Shimazu M. [eds.], Manual for the Research on Insect Pathogens. Nihon Shokubutuboeki-kyoukai, Tokyo, p222.; Martignoni, M.E. and Iwai, P.J. A catalogue of viral diseases of insects, mites and ticks. Appendix 2 [pp. 899-912] In, H.D. Burges (ed.) Microbial Control of Pests and Plant Diseases, 1970-1980. London: Academic Press, 1981. 949 pp.; Dongrui, L., Yuneng, C., Daiyue, L., Qilin, Z., Yuanyang, H., Huajun, H., Kebin, Z. 1986. The Atlas of Insect Viruses in China. 146pp + plates.",10.5281/zenodo.258220
7003530,Atheresthes stomias,FBC:FB:SpecCode:517,eats,EOL:5407,Alepocephalidae,https://apps-afsc.fisheries.noaa.gov/refm/reem/webdietdata/showdata5.php?NODC=1&Region=AI,10.5281/zenodo.5181449
9629067,Pucciniastrum goeppertianum,EOL:1009536,hasHost,ALATaxon:NZOR-6-32428,Abies,tmp_host_info-20200902.csv.gz,
3442123,Othius,GBIF:5431113,preysOn,no:match,fungivorous nematodes,Cattin Blandenier (2004),
2679834,Pterostichus pilosus,INAT_TAXON:714063,preysOn,GBIF:10313671,Coleoptera,Daniel Cahen. 2023. Pterostichus pilosus interaction->preyed on Coleoptera. iNaturalist.org. Accessed at <https://www.inaturalist.org/observations/166488329> on 11 Sep 2023.,
5542538,Alphainfluenzavirus influenzae,no:match,hasHost,GBIF:7705930,Sus scrofa,"Influenza A virus (A/swine/Colorado/A01668653/2016(H1N2)) segment 2 polymerase PB1 (PB1) and PB1-F2 protein (PB1-F2) genes, complete cds",
7242759,Monopsyllus vison,GBIF:1416809,hasHost,EOL:347433,Tamiasciurus hudsonicus,http://arctos.database.museum/guid/HWML:Para:180475,
1575111,Leptorhynchoides macrorchis,GBIF:7525376,parasiteOf,EOL:220570,Micropterus floridanus,"Benesh, D. P., Lafferty, K. D. and Kuris, A. (2017), A life cycle database for parasitic acanthocephalans, cestodes, and nematodes. Ecology, 98: 882. doi:10.1002/ecy.1680",
7241065,Leishmania,GBIF:3235457,hasHost,GBIF:5959946,Hemidactylus platycephalus,http://arctos.database.museum/guid/HWML:Para:59516,
10083507,Microsphaera alni,EOL_V2:18368796,hasHost,GBIF:2888586,Viburnum lentago,tmp_host_info-20200902.csv.gz,
7825470,Polyplax,EOL:49313,hasHost,EOL:1037785,Clethrionomys rutilus,http://arctos.database.museum/guid/HWML:Para:69934,
8451500,Turdus,EOL_V2:14395,eats,EOL:590244,Solanum americanum,M_SD_001,
3540508,Pleurotropis,EOL_V2:3750889,parasitoidOf,EOL:32412,Elasmus,"@article{70372,
  author = {Herting, B.},
  booktitle = {A catalogue of parasites and predators of terrestrial arthropods. Section A. Host or Prey/Enemy.},
  pages = {iii+206pp},
  publisher = {Commonwealth Agricultural Bureaux, Institute of Biological Control},
  title = {Hymenoptera.},
  volume = {4},
  year = {1977}
}
",10.5281/zenodo.8253729
19866673,Hoplitis biscutellae,INAT_TAXON:271455,interactsWith,EOL:581850,Larrea tridentata,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=43934410,
1988238,Schoenoplectus lacustris,EOL:249640,interactsWith,EOL:36653,Stagonospora,associations_all_revised.txt,
2110078,Pogonias cromis,EOL_V2:207370,eats,ENVO:00002007,sediment,"Kevin Peters, Robert McMichael. 1990. Early Life History of the Black Drum Pogonias cromis (Pisces: Sciaenidae) in Tampa Bay, Florida",
994513,Influenza A virus,NCBI:11320,hasHost,GBIF:2436436,Homo sapiens,https://github.com/viralemergence/virion/raw/main/Virion/Virion.csv.gz,
4045942,Circoviridae 3 LDMD-2013,NCBI:1379707,pathogenOf,NCBI:1,root,https://www.ncbi.nlm.nih.gov/pubmed/23879711,
9889511,Pycnoporus sanguineus,ALATaxon:15816467-7788-4301-8251-4ca6d2f9a077,hasHost,no:match,Substrate Undetermined,tmp_host_info-20200902.csv.gz,
6406061,undet. Scaphitidae,no:match,interactsWith,no:match,IP.317369,http://collections.peabody.yale.edu/search/Record/YPM-IP-317357,
4120806,Colletes daleae,GBIF:1348644,interactsWith,EOL:60977,Tamarix,urn:catalog:USDA-ARS:BBSL:BBSL358884,
8701506,Anthidium,EOL:40506,interactsWith,INAT_TAXON:163908,Hylotelephium spectabile,"Digital Bee Collections Network, 2014 (and updates). Version: 2016-03-08. National Science Foundation grant DBI 0956388",
9549333,Septoria polygalae,GBIF:5506074,hasHost,EOL:581815,Polygala senega,tmp_host_info-20200902.csv.gz,
8336182,Hystrix brachyura,GBIF:5219890,eats,GBIF:5564975,Horsfieldia superba,M_SD_001,
19311322,Merlangius merlangus,GBIF:2415788,eats,EOL_V2:44659,Parathemisto,"Cooperative Research Report No. 164; Cooperative Research Report No. 219, ICES Stomach DatasetImpl, ICES",
6394351,Peltigera rufescens,IF:399354,adjacentTo,no:match,earth,http://collections.peabody.yale.edu/search/Record/YU.237071,
4103398,Perdita calloleuca,GBIF:1356350,interactsWith,GBIF:3148662,Chrysothamnus depressus,urn:catalog:USDA-ARS:BBSL:BBSL449459,
3604110,Sympiesis gyoerfii,gid://taxon-works/TaxonName/509543,hasHost,EOL:363716,Syndemis musculana,"@article{55232,
  author = {Bouček, Zdeněk and Askew, Richard R},
  booktitle = {Index of Entomophagous Insects},
  editor = {Delucchi, V. and Remaudière, G.},
  pages = {260pp},
  publisher = {Le François, Paris},
  title = {Hym. Chalcidoidea. Palearctic Eulophidae (excl. Tetrastichinae).},
  volume = {3},
  year = {1968},
  year_suffix = {a}
}
",10.5281/zenodo.8253729
7512561,Dendroctonus brevicomis,EOL_V2:672226,interactsWith,EOL:1010952,Pinus coulteri,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=16800301,
3860644,Lagenorhynchus acutus,FBC:SLB:SpecCode:69384,eats,FBC:FB:SpecCode:12413,Diaphus mollis,"Craddock, J.E., P.T. Polloni, B. Hayward and F. Wenzel. 2009. Food habits of Atlantic white-sided dolphin (<i>Lagenorhynchus acutus</i>) off the coast of New England. Fish. Bull. 107(3):389-394.",
7175016,Brycon melanopterus,FBC:FB:SpecCode:27668,eats,EOL_V2:281,Plantae,"Soares, M.G.M., R.G. Almeida and W.T. Tunk. 1986. The trophic status of the fish fauna in Lago Camaleao, a macrophyte dominated floodplain lake in the middle Amazon. Amazoniana 9(4):511-526.",
10264307,Gloeocercospora sorghi,EOL:997876,hasHost,GBIF:2705181,Sorghum bicolor,tmp_host_info-20200902.csv.gz,
6188876,Eumolpianus eumolpi,EOL:705690,hasHost,GBIF:2437431,Tamias dorsalis,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=62927062,
8043500,BOLD:AAA1951,http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAA1951,hasHost,INAT_TAXON:355843,Smicropus laeta,http://bins.boldsystems.org/index.php/Public_RecordView?processid=MHMYK10680-15,
7297669,Schellackia,EOL:2908678,hasHost,GBIF:2465514,Laudakia tuberculata,http://arctos.database.museum/guid/HWML:Para:57463,
10007369,Peronospora myosotidis,EOL:1030889,hasHost,GBIF:2925691,Plagiobothrys,tmp_host_info-20200902.csv.gz,
3226679,Athene cunicularia,EOL_V2:1045997,eats,GBIF:2438655,Microtus pennsylvanicus,urn:catalog:RSKM:OWLPELLET:OP-5891.0002,10.5886/f0xsbu
4914428,Enterovirus A,NCBI:138948,hasHost,GBIF:2436436,Homo sapiens,https://github.com/viralemergence/virion/raw/main/Virion/Virion.csv.gz,
5716632,Alphainfluenzavirus influenzae,no:match,hasHost,EOL_V2:1047918,Anas platyrhynchos,"Influenza A virus (A/mallard/California/942V/2013(H5N5)) matrix protein 2 (M2) and matrix protein 1 (M1) genes, complete cds",
19052337,Eurytoma,GBIF:10288637,parasiteOf,EOL:1061648,Picea abies,"F.  Seow-Choen, A Taxonomic Guide to the Stick Insects of Borneo. Kota Kinabalu: Natural History Publications (Borneo), 2016.",
1280042,Xiphias gladius,EOL_V2:206878,preysOn,EOL_V2:207924,Myctophum punctatum,https://datadryad.org/stash/downloads/file_stream/80047,
3309902,Acroperla,EOL:8106965,eats,GBIF:2640111,Oedogonium,Cattin Blandenier (2004),
197232,Klebsiella pneumoniae,EOL:2491752,hasHost,EOL:327955,Homo sapiens,http://www.ncbi.nlm.nih.gov/pubmed/2975212,10.5281/zenodo.258189
3406563,Habrocerus capillaricornis,GBIF:4440583,preysOn,GBIF:4012,Julidae,Cattin Blandenier (2004),
2121706,Lucania parva,GBIF:2349567,eats,EOL_V2:1158,Amphipoda,"Stephen Levine. 1980. Gut Contents of Fourty-four Lake Pontchartrain, Louisiana Fish Species",
7890093,Cestoda,GBIF:144,parasiteOf,GBIF:2497921,Tyto alba,http://arctos.database.museum/guid/DMNS:Para:1367,
2657409,Anarhichas minor,EOL_V2:224648,eats,EOL_V2:44659,Parathemisto,"Munk, P. 2002. Larval sand lance (Ammodytes sp.) in the diet of small juvenile wolffish (Anarhichas spp.): predatory interactions in frontal water masses off western Greenland. Canadian Journal of Fisheries and Aquatic Science 59:1759-1767.",
1789534,Proctophyllodes,GBIF:4405309,hasHost,GBIF:2493393,Heterophasia melanoleuca,doi:10.15468/tmxd7n,
19078642,Trichogramma,EOL:32381,parasiteOf,GBIF:5290052,Zea mays,"F.  Seow-Choen, A Taxonomic Guide to the Stick Insects of Borneo. Kota Kinabalu: Natural History Publications (Borneo), 2016.",
8177784,BOLD:AAC2304,http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAC2304,hasHost,no:match,light trap,http://bins.boldsystems.org/index.php/Public_RecordView?processid=BLPAA8624-17,
2490720,Spinicauda fisheri,GBIF:7027118,hasHost,EOL_V2:331031,Platymantis pelewensis,http://n2t.net/ark:/65665/35530e3c9-6a1e-4e3c-89e2-e978a0d4a6d8,
1751439,Arthropoda,EOL:164,hasHost,GBIF:5229387,Philomachus pugnax,doi:10.15468/tmxd7n,
1942983,Myolepta nigra,EOL:750352,interactsWith,WD:Q17137452,Heracleum lanatum,associations_all_revised.txt,
19666801,UCSC | RMIC | 1020510b-27c4-4b72-9532-eceb38d4475a | UCSCRMIC0943109 | 8090f50d-4daf-44e2-9007-14106a7080ac,no:match,interactsWith,NCBI:32644,unidentified,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=30671788,
7990825,Spinus tristis,NCBI:54773,adjacentTo,no:match,road w/ irrigation ditch,http://arctos.database.museum/guid/MVZObs:Bird:12333,
4547027,Apanteles carpatus,ALATaxon:urn:lsid:biodiversity.org.au:afd.taxon:c9d819b1-fdea-4aa8-920b-1167b79e5add,interactsWith,GBIF:10308373,Strawberry,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=41740183,
7183264,Exocoetus volitans,FBC:FB:SpecCode:1032,eats,EOL_V2:2598871,Crustacea,"Lipskaya, N.Y. 1987. Feeding of flyingfish (Exocoetidae) larvae and fingerlings in the region of the Peruvian upwelling. J. Ichthyol. 27(3):108-116.",
4846876,Human immunodeficiency virus 1,NCBI:11676,hasHost,GBIF:2436436,Homo sapiens,https://github.com/viralemergence/virion/raw/main/Virion/Virion.csv.gz,
1783237,Acari,EOL:2586535,hasHost,NCBI:175941,Eophona migratoria,doi:10.15468/tmxd7n,
2387605,Heterodermia obscurata,GBIF:2609327,adjacentTo,GBIF:3054287,Carya,http://n2t.net/ark:/65665/3ae556ba7-153e-44fa-8305-7fb488a6ab3d,
7517380,Osmia pentstemonis,EOL:2753468,interactsWith,GBIF:3171587,Penstemon griffinii,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=16824271,
10123063,Drepanopeziza castagnei,GBIF:10521618,hasHost,EOL:592441,Populus alba,tmp_host_info-20200902.csv.gz,
8683820,Teleorhinus cyaneus,GBIF:5152630,interactsWith,GBIF:9009637,Rhamnus crocea,"PBI: Phytophagous Insects as a Model Group for Documenting Planetary Biodiversity (Insecta: Heteroptera: Miridae: Orthotylinae, Phylinae). Version: 2016-03-08. National Science Foundation grant DBI#0316495",
19858482,Diadasia diminuta,GBIF:1341167,interactsWith,GBIF:3189896,Kallstroemia grandiflora,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=43939771,
6311727,Myripristis jacobus,EOL_V2:207927,eats,EOL_V2:2604866,Brachyura,"J. Bascompte, C. J. Melián and E. Sala (2005). Interaction strength combinations and the overfishing of a marine food web. Proceedings of the National Academy of Sciences USA, 102: 5443-5447. ",
9224980,Aphis  Aphis helianthi,no:match,interactsWith,INAT_TAXON:53782,Humulus,"Tri-Trophic Thematic Collection Network, 2014 (and updates). Version: 2016-03-08. http://tcn.amnh.org/. National Science Foundation grant(s) EF#1115081, EF#1115103, EF#1115080, EF#1115144, EF#1115191, EF#1115104, EF#1115115",
8383343,Tockus fasciatus,GBIF:2475972,eats,GBIF:3833043,Zanthoxylum zanthoxyloides,M_SD_001,
9944083,Phyllosticta prunigena,EOL:6430640,hasHost,EOL_V2:301169,Prunus ilicifolia,tmp_host_info-20200902.csv.gz,
19245519,Sesia bembeciformis,EOL:950007,eats,EOL:584272,Salix cinerea,"F.  Seow-Choen, A Taxonomic Guide to the Stick Insects of Borneo. Kota Kinabalu: Natural History Publications (Borneo), 2016.",
10585738,Aecidium papuasicum,GBIF:3375802,hasHost,GBIF:3929484,Clematis papuasica,tmp_host_info-20200902.csv.gz,
7009029,Theragra chalcogramma,GBIF:2415762,eats,GBIF:4223,Bathylagidae,https://apps-afsc.fisheries.noaa.gov/refm/reem/webdietdata/showdata5.php?NODC=1&Region=AI,10.5281/zenodo.5181449
3298702,Carcinus maenas,EOL_V2:128502,preysOn,WORMS:1076707,Oligochaeta,Cattin Blandenier (2004),
8029048,BOLD:AAA0441,http://www.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAA0441,hasHost,GBIF:2920358,Psychotria panamensis,http://bins.boldsystems.org/index.php/Public_RecordView?processid=MHMYL759-11,
7857969,Arthropoda,EOL:164,hasHost,EOL:327632,Nycticeius humeralis,http://arctos.database.museum/guid/HWML:Para:86227,
2424519,Parthenocissus quinquefolia,GBIF:3039194,adjacentTo,no:match,large Celtis tree,http://n2t.net/ark:/65665/393dbfb57-4899-416e-8adf-0cd90c647903,
8586790,Oulimnius tuberculatus,EOL_V2:3269088,eats,GBIF:3192257,Fragilaria,"Ledger, M.E., Brown, L.E., Edwards, F., Milner, A.M. & Woodward, G. (2012) Drought alters the structure and functioning of complex food webs. Nature Climate Change.",
